<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IMOEX;D;230526;000000;2662.85;2663.51;2631.03;2649.98;66958508415
IMOEX;D;230527;000000;2650.38;2685.14;2645.54;2682.03;52544481185
IMOEX;D;230530;000000;2697.46;2732;2697.46;2732;66128347323
IMOEX;D;230531;000000;2712.04;2748.6;2687.81;2698.75;89971597547
IMOEX;D;230601;000000;2698.11;2718.27;2676.27;2717.64;58314595036
IMOEX;D;230602;000000;2720.21;2729.97;2709.33;2721.73;43211683996
IMOEX;D;230603;000000;2684.59;2720.47;2684.59;2719.48;66753535007
IMOEX;D;230606;000000;2726.17;2738.82;2679.3;2694.14;77243686738
IMOEX;D;230607;000000;2667.76;2687.41;2628;2681.25;76379214029
IMOEX;D;230608;000000;2690.94;2711.72;2674.11;2694.69;55920146858
IMOEX;D;230609;000000;2693.6;2709.69;2688.31;2709.69;38188859175
IMOEX;D;230610;000000;2717.2;2721.84;2705.24;2708.04;39062501968
IMOEX;D;230614;000000;2715.31;2757.28;2715.15;2757.28;52842178198
IMOEX;D;230615;000000;2777.2;2786.06;2758.35;2765.18;59282911977
IMOEX;D;230616;000000;2776.77;2809.42;2764.89;2800.17;70656176142
IMOEX;D;230617;000000;2809.28;2813.74;2783.71;2800.79;45797616801
IMOEX;D;230620;000000;2808.04;2816.57;2783.69;2815.07;68461308059
IMOEX;D;230621;000000;2810.14;2814.72;2778;2803.69;57023096018
IMOEX;D;230622;000000;2808.87;2821.88;2794.68;2819.3;45157380131
IMOEX;D;230623;000000;2817.3;2820.43;2805.92;2815.83;34397622202
IMOEX;D;230624;000000;2790.04;2795.06;2767.82;2795.06;44113808958
IMOEX;D;230627;000000;2771.52;2784.28;2741.33;2757.13;55624443319
IMOEX;D;230628;000000;2759.61;2785.33;2743.07;2776.63;53762191394
IMOEX;D;230629;000000;2781.1;2787.52;2766.93;2780.92;51943848818
IMOEX;D;230630;000000;2790.27;2804.8;2783.53;2796.41;46908083129
IMOEX;D;230701;000000;2796;2800.12;2779.61;2797.37;44467843000
IMOEX;D;230704;000000;2795.58;2804.93;2790.81;2793.93;53464165683
IMOEX;D;230705;000000;2798.02;2808.22;2776.79;2808.22;50008259491
IMOEX;D;230706;000000;2795.4;2813.76;2795.4;2805;40919411599
IMOEX;D;230707;000000;2816.74;2837.49;2813.38;2819.6;49081716977
IMOEX;D;230708;000000;2823.89;2832.82;2814.38;2832.51;35298822309
IMOEX;D;230711;000000;2838.85;2864.32;2838.52;2856.76;87982411081
IMOEX;D;230712;000000;2865.64;2867.36;2851.01;2860.33;54658841880
IMOEX;D;230713;000000;2870.61;2897.28;2870.61;2896.83;49243265925
IMOEX;D;230714;000000;2899.98;2912.15;2873;2885.63;49945899336
IMOEX;D;230715;000000;2882.96;2902.72;2874.44;2902.72;39994062891
